
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2037 1785.64 465.616 428.615 525.8 600.915 604.926 691.09 54.4178 
Alternative 4 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 16.1515 16.1515 16.1515 16.1515 4.53472e-10 
2026  0 25.3018 27.0643 25.8458 25.8495 25.8505 25.8584 0.00420495 
2027  0 25.3018 27.0643 25.1154 25.1383 25.1425 25.1869 0.0234094 
2028  0 25.3018 27.0643 24.3217 24.3961 24.4095 24.5522 0.0737768 
2029  0 25.3018 27.0643 23.4924 23.667 23.6951 24.0157 0.168517 
2030  0 25.3018 27.0643 22.6244 22.9698 23.0184 23.596 0.312634 
2031  0 25.3018 27.0643 21.7946 22.3303 22.4205 23.359 0.501756 
2032  0 25.3018 27.0643 20.9758 21.7676 21.9081 23.2541 0.723747 
2033  0 25.3018 27.0643 20.2148 21.3688 21.4994 23.263 0.961913 
2034  0 25.3018 27.0643 19.5624 21.0645 21.1812 23.3449 1.19883 
2035  0 25.3018 27.0643 18.9985 20.8044 20.9531 23.5394 1.4203 
2036  0 25.3018 27.0643 18.4944 20.6348 20.799 23.7259 1.61823 
2037  0 25.3018 27.0643 18.1383 20.4756 20.7146 23.774 1.79053 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 343.618 137.447 120.266 234.441 234.441 234.441 234.441 8.81073e-13 
2025 343.618 137.447 120.266 230.583 230.591 230.593 230.612 0.00954066 
2026 343.618 137.447 120.266 228.887 228.926 228.933 229.004 0.0384764 
2027 343.618 137.447 120.266 224.051 224.171 224.192 224.421 0.118451 
2028 343.618 137.447 120.266 218.645 218.958 219.012 219.604 0.309341 
2029 343.618 137.447 120.266 212.298 213.05 213.17 214.536 0.716127 
2030 343.618 137.447 120.266 205.201 206.783 207.019 209.892 1.49264 
2031 343.618 137.447 120.266 197.695 200.733 201.191 206.371 2.79729 
