
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2036 1785.64 465.616 428.615 486.886 560.159 563.465 658.9 52.7793 
Alternative 5 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 29.7605 29.7605 29.7605 29.7605 5.43565e-13 
2024  0 25.3018 27.0643 23.8313 23.8313 23.8313 23.8313 1.85963e-10 
2025  0 25.3018 27.0643 31.058 31.058 31.058 31.058 1.47618e-08 
2026  0 25.3018 27.0643 29.435 29.435 29.435 29.435 7.59701e-08 
2027  0 25.3018 27.0643 0 0 0 0 0 
2028  0 25.3018 27.0643 0 0 0 0 0 
2029  0 25.3018 27.0643 0 0 0 0 0 
2030  0 25.3018 27.0643 0 0 0 0 0 
2031  0 25.3018 27.0643 0 0 0 0 0 
2032  0 25.3018 27.0643 0 0 0 0 0 
2033  0 25.3018 27.0643 0 0 0 0 0 
2034  0 25.3018 27.0643 0 0 0 0 0 
2035  0 25.3018 27.0643 0 0 0 0 0 
2036  0 25.3018 27.0643 0 0 0 0 0 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.446 234.446 234.446 234.446 2.24532e-12 
2024 343.618 137.447 120.266 229.445 229.453 229.455 229.473 0.00926822 
2025 343.618 137.447 120.266 224.754 224.793 224.8 224.868 0.0392418 
2026 343.618 137.447 120.266 217.813 217.944 217.966 218.181 0.126192 
2027 343.618 137.447 120.266 214.934 215.281 215.339 215.906 0.32976 
2028 343.618 137.447 120.266 219.43 220.244 220.366 221.666 0.753863 
2029 343.618 137.447 120.266 222.669 224.41 224.659 227.411 1.58153 
2030 343.618 137.447 120.266 224.873 228.277 228.712 233.882 3.0178 
2031 343.618 137.447 120.266 226.497 232.389 233.088 241.915 5.1758 
2032 343.618 137.447 120.266 227.741 236.807 238.046 252.087 7.93131 
2033 343.618 137.447 120.266 229.136 241.935 243.574 262.339 10.9381 
2034 343.618 137.447 120.266 230.936 247.723 249.418 273.775 13.8365 
2035 343.618 137.447 120.266 232.026 253.63 255.339 284.751 16.4219 
2036 343.618 137.447 120.266 234.122 259.145 261.119 294.444 18.6393 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0712498 0.0712498 0.0712498 0.0712498 0 
2024  0 0.0990105 0.119243 0.0584165 0.0584174 0.0584173 0.0584178 4.48902e-07 
2025  0 0.0990105 0.119243 0.0782745 0.0783015 0.0782989 0.0783137 1.30724e-05 
2026  0 0.0990105 0.119243 0.0769064 0.0770575 0.0770438 0.0771318 7.60918e-05 
2027  0 0.0990105 0.119243 0 0 0 0 0 
2028  0 0.0990105 0.119243 0 0 0 0 0 
2029  0 0.0990105 0.119243 0 0 0 0 0 
2030  0 0.0990105 0.119243 0 0 0 0 0 
2031  0 0.0990105 0.119243 0 0 0 0 0 
2032  0 0.0990105 0.119243 0 0 0 0 0 
2033  0 0.0990105 0.119243 0 0 0 0 0 
2034  0 0.0990105 0.119243 0 0 0 0 0 
2035  0 0.0990105 0.119243 0 0 0 0 0 
2036  0 0.0990105 0.119243 0 0 0 0 0 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 1.27329e-11 
2024 1785.64 465.616 428.615 647.404 650.029 650.655 656.012 2.88335 
2025 1785.64 465.616 428.615 628.891 635.898 637.024 648.305 6.70119 
2026 1785.64 465.616 428.615 602.214 615.218 617.148 637.141 11.6311 
2027 1785.64 465.616 428.615 578.113 598.159 600.43 630.952 17.1816 
2028 1785.64 465.616 428.615 584.266 610.91 614.609 654.234 23.0737 
2029 1785.64 465.616 428.615 590.067 625.414 629.08 680.947 28.9062 
2030 1785.64 465.616 428.615 594.422 639.835 643.595 706.116 34.5677 
2031 1785.64 465.616 428.615 601.066 653.386 658.022 728.915 39.7502 
2032 1785.64 465.616 428.615 607.447 666.966 672.271 749.361 44.4439 
2033 1785.64 465.616 428.615 616.342 681.012 686.105 770.395 48.792 
2034 1785.64 465.616 428.615 623.029 693.821 699.405 791.911 52.5926 
2035 1785.64 465.616 428.615 630.422 707.137 711.962 808.976 55.8691 
2036 1785.64 465.616 428.615 638.785 719.292 723.807 823.821 58.6297 
Alternative 6 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 29.7605 29.7605 29.7605 29.7605 5.43565e-13 
2024  0 25.3018 27.0643 47.5207 47.5211 47.5211 47.5218 0.000365367 
2025  0 25.3018 27.0643 44.4642 44.4713 44.4729 44.4869 0.00764299 
2026  0 25.3018 27.0643 41.5641 41.606 41.6141 41.691 0.0432243 
2027  0 25.3018 27.0643 38.8031 38.946 38.9707 39.2065 0.138464 
2028  0 25.3018 27.0643 36.2098 36.5521 36.606 37.1553 0.319963 
