"","YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
"407",2018,2018-07-24,301,"GOA",56453.56
"408",2018,2018-07-24,301,"GOA",51185.52
"409",2018,2018-07-25,301,"GOA",59194.3
"410",2018,2018-07-20,301,"GOA",2293.9
"411",2018,2018-09-08,301,"GOA",172.67
"412",2018,2018-10-14,301,"GOA",406.73
"413",2018,2018-09-03,301,"GOA",271.49
"414",2018,2018-03-01,301,"GOA",140.16
"415",2018,2018-03-01,301,"GOA",172.52
"416",2018,2018-10-04,301,"GOA",5981.36
"417",2018,2018-10-04,301,"GOA",1664.17
"418",2018,2018-08-23,301,"GOA",3542.18
"419",2018,2018-08-23,301,"GOA",17702.4
"420",2018,2018-08-23,301,"GOA",23730.25
"421",2018,2018-09-06,301,"GOA",12079.89
"422",2018,2018-09-06,301,"GOA",5918.91
"423",2018,2018-09-06,301,"GOA",3486.49
"424",2018,2018-09-06,301,"GOA",8938.52
"425",2018,2018-09-07,301,"GOA",5779.31
"426",2018,2018-09-07,301,"GOA",6544.43
"427",2018,2018-09-07,301,"GOA",4563.64
"428",2018,2018-09-07,301,"GOA",3949.01
"429",2018,2018-09-07,301,"GOA",2162.86
"430",2018,2018-09-07,301,"GOA",66.57
"431",2018,2018-09-07,301,"GOA",7724.85
"432",2018,2018-09-08,301,"GOA",4054.83
"433",2018,2018-09-08,301,"GOA",2644.46
"434",2018,2018-09-08,301,"GOA",1002.01
"435",2018,2018-09-08,301,"GOA",1445.03
"436",2018,2018-09-08,301,"GOA",2508.08
"437",2018,2018-09-08,301,"GOA",9198.96
"438",2018,2018-09-09,301,"GOA",9686.91
"439",2018,2018-09-09,301,"GOA",10195.66
"440",2018,2018-09-09,301,"GOA",6949.95
"441",2018,2018-09-09,301,"GOA",9742.45
"442",2018,2018-09-10,301,"GOA",6500.1
"443",2018,2018-09-11,301,"GOA",7898.7
"444",2018,2018-09-12,301,"GOA",2530.43
"445",2018,2018-09-12,301,"GOA",6690.33
"446",2018,2018-09-12,301,"GOA",11343.92
"447",2018,2018-09-12,301,"GOA",1064.53
"448",2018,2018-09-12,301,"GOA",8313.86
"449",2018,2018-09-12,301,"GOA",9628.49
"450",2018,2018-09-13,301,"GOA",10831.57
"451",2018,2018-09-13,301,"GOA",9432.16
"452",2018,2018-09-14,301,"GOA",2928.8
"453",2018,2018-09-14,301,"GOA",773.31
"454",2018,2018-09-14,301,"GOA",1036.46
"455",2018,2018-09-16,301,"GOA",5205.68
"456",2018,2018-09-17,301,"GOA",7317.1
"457",2018,2018-09-17,301,"GOA",8314.89
"458",2018,2018-09-17,301,"GOA",4671.65
"459",2018,2018-09-17,301,"GOA",11617.03
"460",2018,2018-08-29,301,"GOA",8194.47
"461",2018,2018-09-02,301,"GOA",150.31
"462",2018,2018-07-03,301,"GOA",44092.61
"463",2018,2018-07-03,301,"GOA",69106.78
"464",2018,2018-07-04,301,"GOA",51651.62
"465",2018,2018-07-04,301,"GOA",86026.24
"466",2018,2018-07-05,301,"GOA",43812.94
"467",2018,2018-07-05,301,"GOA",6236.27
"468",2018,2018-07-05,301,"GOA",164.6
"469",2018,2018-08-23,301,"GOA",21309.91
"470",2018,2018-09-10,301,"GOA",8856.7
"471",2018,2018-09-10,301,"GOA",4912
