
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 30.3807 30.3807 30.3807 30.3807 1.74083e-13 
2024  0 25.3018 27.0643 31.454 31.454 31.454 31.454 7.07846e-10 
2025  0 25.3018 27.0643 29.89 29.89 29.89 29.89 1.35037e-08 
2026  0 25.3018 27.0643 0 0 0 0 0 
2027  0 25.3018 27.0643 0 0 0 0 0 
2028  0 25.3018 27.0643 0 0 0 0 0 
2029  0 25.3018 27.0643 0 0 0 0 0 
2030  0 25.3018 27.0643 0 0 0 0 0 
2031  0 25.3018 27.0643 0 0 0 0 0 
2032  0 25.3018 27.0643 0 0 0 0 0 
2033  0 25.3018 27.0643 0 0 0 0 0 
2034  0 25.3018 27.0643 0 0 0 0 0 
2035  0 25.3018 27.0643 0 0 0 0 0 
2036  0 25.3018 27.0643 0 0 0 0 0 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.352 234.352 234.352 234.352 1.87583e-12 
2024 343.618 137.447 120.266 228.019 228.027 228.03 228.048 0.00955937 
2025 343.618 137.447 120.266 221.337 221.377 221.384 221.457 0.0392784 
2026 343.618 137.447 120.266 219.207 219.329 219.351 219.584 0.120706 
2027 343.618 137.447 120.266 224.954 225.269 225.324 225.923 0.312691 
2028 343.618 137.447 120.266 229.382 230.143 230.264 231.649 0.725835 
2029 343.618 137.447 120.266 232.48 234.098 234.34 237.287 1.52742 
2030 343.618 137.447 120.266 234.435 237.567 238.054 243.483 2.90731 
2031 343.618 137.447 120.266 235.722 241.16 241.984 251.457 4.95991 
2032 343.618 137.447 120.266 236.818 244.923 246.401 260.52 7.55406 
2033 343.618 137.447 120.266 237.65 249.862 251.323 270.34 10.3743 
2034 343.618 137.447 120.266 238.866 254.963 256.548 280.285 13.1189 
2035 343.618 137.447 120.266 240.454 260.3 261.893 289.72 15.613 
2036 343.618 137.447 120.266 242.091 265.241 267.177 299.269 17.7946 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0727775 0.0727775 0.0727775 0.0727775 3.46945e-16 
2024  0 0.0990105 0.119243 0.0777692 0.0777706 0.0777704 0.0777711 6.25827e-07 
2025  0 0.0990105 0.119243 0.0764708 0.0764996 0.0764967 0.0765113 1.32906e-05 
2026  0 0.0990105 0.119243 0 0 0 0 0 
2027  0 0.0990105 0.119243 0 0 0 0 0 
2028  0 0.0990105 0.119243 0 0 0 0 0 
2029  0 0.0990105 0.119243 0 0 0 0 0 
2030  0 0.0990105 0.119243 0 0 0 0 0 
2031  0 0.0990105 0.119243 0 0 0 0 0 
2032  0 0.0990105 0.119243 0 0 0 0 0 
2033  0 0.0990105 0.119243 0 0 0 0 0 
2034  0 0.0990105 0.119243 0 0 0 0 0 
2035  0 0.0990105 0.119243 0 0 0 0 0 
2036  0 0.0990105 0.119243 0 0 0 0 0 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2024 1785.64 465.616 428.615 646.756 649.268 650.027 655.738 2.97097 
2025 1785.64 465.616 428.615 620.865 627.755 628.753 641.063 6.51075 
2026 1785.64 465.616 428.615 596.258 607.984 610.049 630.064 11.0356 
2027 1785.64 465.616 428.615 602.598 619.684 622.814 653.283 16.2994 
2028 1785.64 465.616 428.615 607.301 632.746 635.795 675.504 21.896 
2029 1785.64 465.616 428.615 612.361 646.176 648.954 698.719 27.5242 
2030 1785.64 465.616 428.615 616.828 658.945 662.267 721.161 32.8853 
2031 1785.64 465.616 428.615 622.46 671.202 675.623 745.428 37.9763 
2032 1785.64 465.616 428.615 627.775 683.656 688.741 763.758 42.6108 
2033 1785.64 465.616 428.615 633.579 694.351 701.543 782.36 47.0293 
2034 1785.64 465.616 428.615 640.061 707.103 713.911 798.966 51.1635 
2035 1785.64 465.616 428.615 645.06 720.4 725.839 817.852 55.1212 
2036 1785.64 465.616 428.615 651.776 732.251 737.121 833.745 58.7817 
Alternative 6 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 30.3807 30.3807 30.3807 30.3807 1.74083e-13 
2024  0 25.3018 27.0643 47.4659 47.4662 47.4663 47.467 0.00037647 
2025  0 25.3018 27.0643 44.4157 44.4226 44.4244 44.4392 0.00783492 
2026  0 25.3018 27.0643 41.5212 41.5637 41.5716 41.6544 0.0436101 
2027  0 25.3018 27.0643 38.7695 38.9078 38.9327 39.1977 0.137003 
2028  0 25.3018 27.0643 36.1942 36.516 36.5687 37.1599 0.311006 
